用例ID,模块,页面,测试点,用例标题,预置条件,测试步骤,预期结果,测试结果,优先级,严重级别,测试类型
TC-LOG-011,登录与权限模块,登录页,验证已登录访问登录页跳转,已登录状态访问登录页,已登录student1且token有效,1.登录成功停留在首页；2.浏览器地址栏输入/login回车,路由守卫检测到已登录；自动重定向到首页/；不重复展示登录页,未执行,P2,轻微,业务规则校验
TC-LOG-012,登录与权限模块,业务页面,验证未登录访问业务页跳转登录,未登录状态访问受保护页,未登录；localStorage无token,1.退出登录清空token；2.浏览器地址栏输入/innovation/create回车,路由守卫拦截；自动跳转到/login登录页；登录后可回跳原页面,未执行,P0,严重,权限测试
TC-LOG-013,登录与权限模块,业务接口,验证token过期访问接口,token超过24小时,存在已签发且过期的token,1.用过期token构造请求；2.调用GET /api/innovation/page接口,接口返回HTTP 401；前端响应拦截器捕获401清空token并跳转登录页；不展示业务数据,未执行,P0,严重,权限测试
TC-LOG-014,登录与权限模块,业务接口,验证伪造token访问接口,伪造非法token,无有效token,1.构造随机字符串作为token放入Authorization头；2.调用任意业务接口,JwtAuthenticationFilter解析失败；接口返回HTTP 401；前端跳转登录页,未执行,P0,严重,权限测试
TC-LOG-015,登录与权限模块,审核页面,验证STUDENT无审核权限,学生角色访问审核页,已登录student1,1.登录student1；2.浏览器地址栏输入/review回车,路由守卫meta.roles不含STUDENT；重定向到首页；即便直接调POST /api/review/approve也返回HTTP 403,未执行,P0,严重,权限测试
TC-LOG-016,登录与权限模块,用户管理页,验证SECRETARY无用户管理权限,秘书角色访问用户管理,已登录secretary,1.登录secretary；2.地址栏输入/system/user回车,路由守卫拦截重定向首页；直接调用户管理接口返回HTTP 403,未执行,P1,严重,权限测试
TC-LOG-017,登录与权限模块,系统全部页面,验证ADMIN拥有全部页面权限,管理员角色访问各页,已登录admin,1.登录admin；2.依次访问/review /system/user /system/log /statistics,所有页面均可正常进入无重定向；侧边栏展示全部菜单项,未执行,P1,一般,权限测试
TC-LOG-018,登录与权限模块,系统首页,验证退出登录token失效,退出后使用旧token,已登录student1,1.点击右上角退出登录；2.用退出前的token调用GET /api/innovation/page,前端清空localStorage的token与userInfo；页面跳转登录页；旧token调用接口返回401,未执行,P0,严重,功能测试
TC-LOG-019,登录与权限模块,登录页,验证回车键提交登录,键盘回车提交,后端服务正常,1.打开登录页；2.输入student1/admin123；3.光标停在密码框按回车键,回车触发登录提交；与点击登录按钮效果一致；返回code=200跳转首页,未执行,P2,轻微,兼容性测试
TC-LOG-020,登录与权限模块,登录页,验证用户名50字符上限边界,用户名VARCHAR(50)恰好等于边界,数据库sys_user.username列VARCHAR(50)；后端服务正常,1.打开登录页；2.输入精确50字符长的已注册用户名（若不存在则先由admin创建）+ 正确密码；3.点击登录,登录成功返回code=200；完整保留50字符不截断；页面跳转首页；token正确,未执行,P2,一般,边界测试
TC-LOG-021,登录与权限模块,登录页,验证用户名51字符超长提交,用户名超限(50+1),数据库username列VARCHAR(50),1.打开登录页；2.输入51字符长度字符串作用户名；3.输入正确密码；4.点击登录,前端或后端校验拦截返回code=400提示用户名长度不能超过50字符；数据库未被截断存储；不返回用户名或密码错误,未执行,P2,一般,边界测试
TC-PAG-001,成果提交模块,个人成果中心列表,验证分页参数page=0首页保护,page=0不合法边界,列表QueryDTO字段page=Integer(默认1/0两版本)；已登录student1,1.登录student1；2.直接在成果列表接口传page=0 size=10；3.查看返回,"Mybatis-Plus自动将page=0调整为1或返回空列表不报错；不抛出异常；返回结构完整符合{code,message,data.PageResult结构}",未执行,P1,严重,边界测试
TC-PAG-002,成果提交模块,个人成果中心列表,验证分页参数size=0分页数异常,size=0分页数错误,QueryDTO size=10默认值；已登录student1,1.调成果列表接口GET /api/innovation/page传size=0 page=1,后端返回空列表或给出size最小为1提示；size被纠正回1；不出现除零异常/空指针；code=200正常响应,未执行,P1,严重,边界测试
TC-PAG-003,成果提交模块,个人成果中心列表,验证分页size=1000超大量,size极值超大,已登录student1；成果表记录有限,1.调列表接口传size=1000 page=1；2.观察返回,Mybatis-Plus不报错；返回全量记录或系统设定size上限(如500)；不触发OOM；响应JSON中records大小与实际记录数一致,未执行,P2,一般,边界测试
TC-PAG-004,成果提交模块,用户管理/待办/公告等列表,验证全部分页查询接口page=1首页首条正确性,分页首页首条数据一致,已登录admin/secretary；存在多页记录,1.分别对用户管理/待办列表/公告/系统日志/四类成果列表传page=1 size=10；2.记录每条records[0]的ID/主键；3.分别在数据库执行SELECT * ORDER BY create_time DESC LIMIT 10 OFFSET 0；4.对比首条ID,两者首条记录完全一致；分页排序字段统一按create_time DESC/对应ORDER BY；不存在首页少一条或出现顺序错位,未执行,P1,严重,边界测试
TC-REV-001,审核流程模块,秘书待办列表页,验证秘书待办列表展示,查看一级待审核成果,已登录secretary；存在pending_review成果,1.登录secretary；2.进入任务中心-我的待办；3.查看列表,列表展示所有status=pending_review成果；按提交时间倒序；展示成果名称类型提交人提交时间；数据与后端GET /api/review/todo一致,未执行,P0,严重,功能测试
TC-REV-002,审核流程模块,审核详情页,验证秘书一级审核通过,初审通过,已登录secretary；存在pending_review大创项目,1.进入待办列表点击某成果审核；2.查看成果详情；3.输入审核意见材料齐全同意；4.点击通过按钮,POST /api/review/approve返回code=200；成果status变为under_review；achievement_timeline新增secretary_review节点action=approve；通知提交人初审通过,未执行,P0,严重,功能测试
TC-REV-003,审核流程模块,审核详情页,验证秘书一级审核驳回,初审驳回,已登录secretary；存在pending_review成果,1.进入审核详情；2.输入驳回理由材料不全请补充；3.点击驳回按钮,POST /api/review/reject返回code=200；status变为returned；timeline新增secretary_review节点action=reject；通知提交人需修改,未执行,P0,严重,功能测试
TC-REV-004,审核流程模块,审核详情页,验证审核意见为空通过,通过时不填意见,已登录secretary；存在pending_review成果,1.进入审核详情；2.审核意见留空；3.点击通过,校验拦截提示请输入审核意见；或允许通过但意见字段为空入库；按业务规则校验,未执行,P1,一般,UI校验
TC-REV-005,审核流程模块,领导待办列表页,验证领导仅看待办二级审核,领导待办列表,已登录leader；存在under_review与pending_review成果,1.登录leader；2.进入我的待办,列表仅展示under_review状态(已过初审)成果；不展示pending_review；与秘书待办区分,未执行,P0,严重,业务规则校验
TC-REV-006,审核流程模块,审核详情页,验证领导二级审核通过归档,终审通过,已登录leader；存在under_review成果,1.进入待办点击成果审核；2.查看详情；3.输入终审意见；4.点击通过,POST /api/review/approve返回code=200；status变为archived已归档；timeline新增leader_review节点action=approve；通知提交人终审通过已归档,未执行,P0,严重,功能测试
TC-REV-007,审核流程模块,审核详情页,验证领导二级审核驳回,终审驳回,已登录leader；存在under_review成果,1.进入审核详情；2.输入驳回理由；3.点击驳回,status变为returned；timeline新增leader_review节点action=reject；通知提交人终审未通过,未执行,P0,严重,功能测试
TC-REV-008,审核流程模块,审核详情页,验证重复审核同一成果,已审核成果再次审核,已登录secretary；存在已under_review成果(秘书已审),1.秘书再次对待办中已审成果点击通过,待办列表已不含该成果；直接调用接口返回提示已审核或状态不允许；不重复生成timeline,未执行,P1,一般,异常场景
TC-REV-009,审核流程模块,审核接口,验证STUDENT无审核权限,学生调用审核接口,已登录student1,1.登录student1；2.直接POST /api/review/approve传成果ID,接口返回HTTP 403；SecurityConfig与PreAuthorize双重拦截；成果状态不变,未执行,P0,严重,权限测试
TC-REV-010,审核流程模块,审核接口,验证秘书跨级审核领导待办,秘书尝试终审,已登录secretary；存在under_review成果,1.登录secretary；2.对under_review成果调用approve,接口返回403或提示无权终审；仅LEADER与ADMIN可终审；status不变,未执行,P1,严重,权限测试
TC-REV-011,审核流程模块,审核详情页,验证pending_review状态可被秘书审核,待审核可初审,已登录secretary；存在pending_review成果,1.进入待办；2.对该成果点击通过或驳回,操作成功；状态正确流转；timeline记录,未执行,P1,一般,业务规则校验
TC-REV-012,审核流程模块,审核详情页,验证archived状态不可再审核,归档项目再审核,已登录leader；存在archived成果,1.对已归档成果点击通过或驳回,提示已归档不可审核；待办列表不含该成果；状态不变,未执行,P1,一般,业务规则校验
TC-REV-013,审核流程模块,审核时间线,验证审核后时间线记录正确,时间线落库,已登录secretary；存在pending_review成果,1.对成果执行通过；2.查询achievement_timeline表,timeline表新增记录；achievement_type与ID对应；node=secretary_review；operator_id为当前秘书；create_time为操作时间,未执行,P1,严重,功能测试
TC-REV-014,审核流程模块,通知模块,验证审核后通知提交人,审核通知,已登录student1提交secretary审核,1.student1提交成果；2.secretary登录审核通过；3.student1登录查看通知,notification表新增记录user_id为提交人；related_type与related_id对应成果；前端通知红点提示；is_read初始0,未执行,P1,严重,功能测试
TC-REV-015,审核流程模块,审核详情页,验证审核意见超长,意见超最大长度,已登录secretary；存在pending_review成果,1.进入审核详情；2.审核意见输入5000字符超长；3.点击通过,校验拦截提示审核意见长度超限；或后端截断；不入库异常,未执行,P2,一般,边界测试
TC-REV-016,审核流程模块,秘书待办列表页,验证待办列表分页边界,分页末页与超页,已登录secretary；存在大于1页待办,1.进入待办列表；2.翻到最后一页；3.点击下一页,末页正确展示；下一页按钮置灰或提示无更多数据；不报错不展示空表异常,未执行,P2,一般,边界测试
TC-REV-017,审核流程模块,审核详情页,验证网络异常时审核,断网点击审核,已登录secretary,1.进入审核详情；2.断开网络；3.点击通过按钮,请求失败前端提示网络异常；成果状态不变；恢复网络后可重新审核不产生重复记录,未执行,P2,一般,异常场景
TC-REV-018,审核流程模块,审核详情页,验证审核页按钮状态,通过驳回按钮展示,已登录secretary进入审核详情,1.进入审核详情页；2.查看通过/驳回按钮,两个按钮正常可点；按钮文案一致；loading状态正确；未点击时不触发请求,未执行,P2,轻微,UI校验
TC-STAT-001,统计与系统管理模块,统计看板,验证总览数据正确,总览四类成果统计,已登录任意角色；数据库有成果数据,1.进入统计看板-总览页；2.查看四类成果总数与状态分布,GET /api/statistics/overview返回code=200；各类成果总数与数据库实际记录数一致；状态分布pending_review/under_review/archived/returned计数正确,未执行,P0,严重,功能测试
TC-STAT-002,统计与系统管理模块,统计看板,验证按类别分组统计,竞赛类别分组,已登录任意角色；存在竞赛成果,1.进入统计看板；2.查看竞赛成果按类别A/B/C分组,图表展示A/B/C各类别数量；与后端countByCategory聚合结果一致；柱状图或饼图渲染正确,未执行,P1,一般,功能测试
TC-STAT-003,统计与系统管理模块,统计看板,验证按级别分组统计,获奖级别分组,已登录任意角色,1.进入统计看板；2.查看竞赛成果按级别national/provincial/school分组,分组数量正确；图表标签与级别一致；数据可下钻或悬浮显示数值,未执行,P1,一般,功能测试
TC-STAT-004,统计与系统管理模块,统计看板,验证12个月趋势图,月度趋势,已登录任意角色；存在跨月数据,1.进入统计看板；2.查看12个月提交趋势折线图,折线图展示近12个月每月成果数；横轴月份标签；数据与后端queryYearlyCounts一致；无数据月份显示0,未执行,P1,一般,功能测试
TC-STAT-005,统计与系统管理模块,统计看板,验证年份筛选统计,按年份过滤,已登录任意角色；存在多年度数据,1.进入统计看板；2.年份下拉选择2024；3.查看数据,统计数据按所选年份过滤；仅展示2024年成果；切换年份数据刷新；无数据年份显示0或空,未执行,P1,一般,功能测试
TC-STAT-006,统计与系统管理模块,统计看板,验证无数据时看板展示,空数据场景,已登录任意角色；数据库无成果,1.进入统计看板；2.查看各图表,图表正常渲染不报错；数值显示0或暂无数据；不展示空指针异常,未执行,P2,一般,异常场景
TC-STAT-007,统计与系统管理模块,统计看板,验证统计接口权限,学生访问统计,已登录student1,1.登录student1；2.访问统计看板,统计看板可访问(若开放)或按权限配置；直接调统计接口验证角色控制,未执行,P2,一般,权限测试
TC-SUB-001,成果提交模块,大创项目创建页,验证正确提交大创项目无文件,正常输入全字段无附件,已登录student1；后端服务正常,1.点击侧边栏大创项目-提交大创项目；2.输入项目名称端到端测试项目；3.选择项目级别校级；4.选择项目类型创新训练；5.输入指导教师张伟；6.输入成员李明王芳；7.选择开始日期2026-08-10；8.点击提交,POST /api/innovation返回code=200；返回data.id与status=pending_review；页面提示提交成功；个人成果中心列表新增一条记录,未执行,P0,严重,功能测试
TC-SUB-002,成果提交模块,大创项目创建页,验证提交大创项目含三个文件,正常输入并上传三个佐证文件,已登录student1；存在可上传pdf文件,1.进入大创项目创建页；2.填写全部必填字段；3.上传立项申请书pdf；4.上传结题材料pdf；5.上传获奖证书pdf；6.点击提交,提交返回code=200；sys_file表新增3条文件记录；innovation_project的proposalFileId等三个文件ID均关联；文件可下载预览,未执行,P0,严重,功能测试
TC-SUB-003,成果提交模块,竞赛成果创建页,验证提交学科竞赛成果,正常提交竞赛成果,已登录student1,1.进入竞赛成果-提交竞赛成果；2.选择类别A；3.输入竞赛名称；4.输入主办单位承办单位获奖单位；5.选择获奖级别国家级与等级一等奖；6.选择获奖时间；7.输入作品名称指导教师参与者；8.点击提交,POST /api/competition返回code=200；status=pending_review；个人成果中心竞赛分类新增记录,未执行,P0,严重,功能测试
TC-SUB-004,成果提交模块,软著创建页,验证提交软件著作权,正常提交软著,已登录student1,1.进入软件著作权-提交软著；2.输入软件名称；3.输入组织单位；4.输入著作权人；5.输入登记号2026SR0000001；6.选择登记日期；7.点击提交,POST /api/copyright返回code=200；status=pending_review；登记号唯一性校验通过,未执行,P0,严重,功能测试
TC-SUB-005,成果提交模块,论文创建页,验证提交学术论文,正常提交论文,已登录student1,1.进入学术论文-提交论文；2.输入论文标题；3.选择投稿日期录用日期；4.输入期刊名称；5.输入关键词；6.选择期刊级别CCF-A；7.输入作者；8.点击提交,POST /api/paper返回code=200；status=pending_review；论文列表新增记录,未执行,P0,严重,功能测试
TC-SUB-006,成果提交模块,大创项目创建页,验证项目名称为空提交,必填项项目名称留空,已登录student1,1.进入大创项目创建页；2.项目名称不输入；3.填写其他必填项；4.点击提交,前端表单校验拦截；项目名称输入框下方提示请输入项目名称；不发起后端请求,未执行,P1,一般,UI校验
TC-SUB-007,成果提交模块,大创项目创建页,验证项目名称超长提交,名称超过最大长度,已登录student1,1.进入创建页；2.项目名称输入200字符超长串；3.填写其他项；4.点击提交,后端@Size校验或前端校验拦截；返回code=400提示项目名称长度不能超过100；不入库,未执行,P1,一般,边界测试
TC-SUB-008,成果提交模块,大创项目创建页,验证项目名称特殊字符,名称含特殊字符,已登录student1,1.进入创建页；2.项目名称输入《测试》项目<>&；3.填写其他项；4.点击提交,提交返回code=200；特殊字符被正确转义存储；列表展示时不执行脚本不乱码,未执行,P2,一般,异常输入测试
TC-SUB-009,成果提交模块,大创项目创建页,验证项目名称前后空格,名称含首尾空格,已登录student1,1.进入创建页；2.项目名称输入 空格测试项目空格；3.点击提交,提交成功；查询时名称trim或保留空格一致展示；不因空格导致重复或异常,未执行,P2,轻微,边界测试
TC-SUB-010,成果提交模块,大创项目创建页,验证指导教师为空提交,必填指导教师留空,已登录student1,1.进入创建页；2.填写项目名称；3.指导教师不输入；4.点击提交,前端或后端校验拦截；提示指导教师不能为空；不入库,未执行,P1,一般,UI校验
TC-SUB-011,成果提交模块,大创项目创建页,验证开始时间格式非法,开始日期非法,已登录student1,1.进入创建页；2.填写必填项；3.开始时间通过接口传2026-13-45非法日期；4.提交,后端LocalDate解析失败被GlobalExceptionHandler捕获；返回code=400提示日期格式错误；不入库,未执行,P1,严重,异常输入测试
TC-SUB-012,成果提交模块,大创项目创建页,验证项目级别未选择提交,项目级别下拉为空,已登录student1,1.进入创建页；2.填写必填项；3.项目级别下拉不选择；4.点击提交,校验拦截提示请选择项目级别；不入库,未执行,P2,一般,UI校验
TC-SUB-013,成果提交模块,文件上传,验证上传文件超过50MB,上传超大文件,已登录student1；存在60MB文件,1.进入创建页；2.点击上传文件选择60MB文件；3.观察上传结果,上传被spring.servlet.multipart.max-file-size拦截；返回code=413提示上传文件过大；sys_file无记录,未执行,P1,严重,边界测试
TC-SUB-014,成果提交模块,文件上传,验证上传空文件,上传0字节文件,已登录student1,1.进入创建页；2.选择0字节空文件上传,上传返回失败或文件大小校验提示；sys_file不写入空文件记录,未执行,P2,一般,异常输入测试
TC-SUB-015,成果提交模块,文件上传,验证上传非允许类型文件,上传exe可执行文件,已登录student1,1.进入创建页；2.选择test.exe文件上传,文件类型校验拦截；提示仅允许pdf/doc/docx等类型；sys_file无记录,未执行,P1,一般,业务规则校验
TC-SUB-016,成果提交模块,文件上传,验证文件名含特殊字符,文件名含中文括号空格,已登录student1,1.进入创建页；2.上传文件名为 项目书(终稿).pdf 的文件,上传成功；文件名特殊字符正确处理；下载时文件名还原不乱码,未执行,P2,轻微,边界测试
TC-SUB-017,成果提交模块,大创项目创建页,验证重复点击提交按钮,连续快速点击两次提交,已登录student1,1.进入创建页填写完整表单；2.快速连续点击提交按钮两次,按钮提交后置灰loading；仅生成一条成果记录不重复入库；第二次点击无效,未执行,P1,严重,业务规则校验
TC-SUB-018,成果提交模块,大创项目创建页,验证提交后刷新页面,提交成功后F5刷新,已登录student1,1.填写表单点击提交成功；2.浏览器按F5刷新页面,刷新不重复提交；表单清空或提示已提交；数据库仅一条记录,未执行,P2,一般,兼容性测试
TC-SUB-019,成果提交模块,大创项目创建页,验证提交后浏览器回退,提交成功后点回退,已登录student1,1.填写表单提交成功跳转列表；2.点击浏览器回退按钮,回退到创建页时表单应清空；不重复提交；不残留已提交数据,未执行,P2,一般,兼容性测试
TC-SUB-020,成果提交模块,大创项目创建页,验证回车键提交表单,输入框按回车,已登录student1,1.进入创建页填写完整表单；2.光标停在任一输入框按回车,回车触发提交或被拦截；不因回车导致误提交或异常,未执行,P2,轻微,兼容性测试
TC-SUB-021,成果提交模块,个人成果中心,验证returned项目可重新提交,退回项目重新编辑提交,已登录student1；存在status=returned的大创项目,1.进入个人成果中心；2.找到returned状态项目点击编辑；3.修改项目名称；4.点击重新提交,提交返回code=200；status变为pending_review；时间线新增submitted记录；修改日志记录update,未执行,P1,严重,业务规则校验
TC-SUB-022,成果提交模块,个人成果中心,验证pending_review项目不能再次提交,待审核项目重复提交,已登录student1；存在pending_review项目,1.进入个人成果中心；2.对待审核项目点击提交,提示当前状态不允许提交或按钮置灰；不改变状态；不新增记录,未执行,P1,一般,业务规则校验
TC-SUB-023,成果提交模块,个人成果中心,验证成果列表正确展示,查看个人成果列表,已登录student1且有提交记录,1.进入个人成果中心；2.查看成果概览列表,列表展示该用户全部四类成果；按创建时间倒序；展示名称类型状态提交时间；分页正常,未执行,P0,严重,功能测试
TC-SUB-024,成果提交模块,个人成果中心,验证按状态筛选成果,状态筛选,已登录student1有多状态成果,1.进入个人成果中心；2.状态筛选选择已归档；3.查看列表,列表仅展示archived状态成果；切换待审核仅展示pending_review；筛选结果与后端查询一致,未执行,P1,一般,功能测试
TC-SUB-025,成果提交模块,个人成果中心,验证archived成果不可修改,归档项目编辑,已登录student1；存在archived大创项目,1.进入个人成果中心；2.对archived项目点击编辑,编辑按钮置灰或点击提示已归档不可修改；不进入编辑页,未执行,P1,一般,业务规则校验
TC-SUB-026,成果提交模块,大创项目创建页,验证必填字段最小长度,必填项输入1字符,已登录student1,1.进入创建页；2.项目名称输入1字符A；3.其他必填最小输入；4.提交,提交成功code=200；最小长度校验通过；记录入库,未执行,P2,一般,边界测试
TC-SUB-027,成果提交模块,软著创建页,验证登记号重复提交,登记号已存在,已登录student1；存在登记号2026SR0000001,1.进入软著创建页；2.登记号输入已存在的2026SR0000001；3.点击提交,校验拦截返回code=500或400提示登记号已存在；不重复入库,未执行,P1,严重,业务规则校验
TC-SUB-028,成果提交模块,论文创建页,验证录用日期早于投稿日期,日期逻辑校验,已登录student1,1.进入论文创建页；2.投稿日期选2026-08-10；3.录用日期选2026-01-01早于投稿；4.提交,校验拦截提示录用日期不能早于投稿日期；不入库,未执行,P2,一般,业务规则校验
TC-SUB-029,成果提交模块,竞赛成果创建页,验证竞赛类别A/B/C外非法枚举值提交,枚举白名单外的值,后端服务正常；已登录student1,1.进入竞赛创建页；2.通过devtools绕过前端直接传competitionCategory=D（白名单之外）；3.其他字段填合法；4.提交,后端校验拦截返回code=400提示竞赛类别仅允许A/B/C；competition_achievement表零新增,未执行,P1,一般,边界测试
TC-SUB-030,成果提交模块,竞赛成果创建页,验证获奖级别枚举外值提交,获奖级别白名单外枚举,后端服务正常；已登录student1,1.竞赛成果页直接传awardLevel=country_extreme；2.其他字段正常；3.提交,后端校验拦截返回code=400提示获奖级别不合法；不入库,未执行,P1,一般,边界测试
TC-SUB-031,成果提交模块,大创项目创建页,验证项目名称恰好200字符,项目名VARCHAR(200)边界等于最大值,innovation_project.project_name列VARCHAR(200),1.大创创建页；2.项目名称精确200字符；3.其他字段合法；4.点击提交,提交成功code=200；200字符完整入库无截断；列表展示完整；不会出现DataIntegrityViolationException,未执行,P2,一般,边界测试
TC-SUB-032,成果提交模块,大创项目创建页,验证项目名称201字符超长,项目名超VARCHAR(200)上限,innovation_project.project_name列VARCHAR(200),1.大创创建页；2.项目名称201字符超长；3.其他字段合法；4.提交,后端@Size或MySQL DataIntegrityViolationException被捕获；返回code=400/500提示长度超限；不入库；不抛出未处理的500堆栈,未执行,P1,严重,边界测试
TC-SUB-033,成果提交模块,竞赛成果创建页,验证竞赛名称恰好200字符等于上限,竞赛名 VARCHAR(200) 等于边界,competition_name VARCHAR(200) NOT NULL,1.竞赛成果创建页；2.竞赛名称精确200字符；3.其他字段合法；4.点击提交,提交成功code=200；200字符完整存储；列表展示完整名称,未执行,P2,一般,边界测试
TC-SUB-034,成果提交模块,论文创建页,验证论文标题恰好300字符等于上限,标题VARCHAR(300)边界,academic_paper.title列VARCHAR(300),1.论文创建页；2.标题精确300字符；3.其他字段合法；4.点击提交,提交成功code=200；300字符完整入库不截断；详情页展示完整标题,未执行,P2,一般,边界测试
TC-SUB-035,成果提交模块,论文创建页,验证论文标题301字符超限,标题超VARCHAR(300),academic_paper.title列VARCHAR(300),1.论文创建页；2.标题301字符；3.其他字段合法；4.点击提交,返回code=400或DataIntegrityViolationException被捕获为提示；不入库；不会500堆栈泄露,未执行,P1,严重,边界测试
TC-SUB-036,成果提交模块,软著创建页,验证软著登记号恰好50字符,登记号VARCHAR(50)边界,registration_number列VARCHAR(50),1.软著创建页；2.输入50字符长度的登记号；3.其他字段合法；4.点击提交,提交成功code=200；登记号完整保留50字符不截断；软著列表展示完整,未执行,P2,一般,边界测试
TC-SUB-037,成果提交模块,文件上传,验证上传文件恰好等于50MB边界,文件大小恰好等于max-file-size上限,spring.servlet.multipart.max-file-size=50MB；存在刚好50MB合法pdf文件,1.进入大创创建页；2.上传精确50MB pdf；3.点击提交,上传成功；sys_file表新增记录；文件大小为50*1024*1024字节；下载大小一致；不被413拦截,未执行,P1,严重,边界测试
TC-SUB-038,成果提交模块,软著创建页,验证登记号恰好等于50字符+重复提交冲突,登记号上限边界且唯一冲突,已插入一条登记号长度恰好为50字符的软著记录,1.先提交一条登记号=50字符的软著；2.再用完全相同的50字符登记号创建提交第二条,第二次提交返回登记号已存在冲突提示；UNIQUE索引正确触发；software_copyright无重复,未执行,P1,严重,边界测试
TC-SYS-001,统计与系统管理模块,用户管理列表页,验证用户列表展示,查看用户列表,已登录admin,1.登录admin；2.进入系统管理-用户管理；3.查看列表,GET /api/user/page返回code=200；列表展示用户名姓名角色状态；分页正常；按创建时间倒序,未执行,P0,严重,功能测试
TC-SYS-002,统计与系统管理模块,用户新增页,验证新增用户,正常新增用户,已登录admin,1.进入用户管理点击新增；2.输入用户名testuser；3.输入密码admin123；4.输入姓名测试用户；5.选择角色STUDENT；6.点击保存,POST /api/user返回code=200；用户列表新增testuser；sys_user表新增记录密码BCrypt加密；可用新账号登录,未执行,P0,严重,功能测试
TC-SYS-003,统计与系统管理模块,用户编辑页,验证编辑用户角色,修改用户角色,已登录admin；存在用户testuser,1.在用户列表找到testuser点击编辑；2.角色由STUDENT改为SECRETARY；3.点击保存,PUT /api/user返回code=200；列表角色更新为科研秘书；testuser重新登录后拥有秘书权限与菜单,未执行,P1,严重,功能测试
TC-SYS-004,统计与系统管理模块,用户列表页,验证禁用用户状态,停用用户,已登录admin；存在启用状态用户,1.在用户列表对某用户点击禁用；2.确认禁用,用户status变为0禁用；该用户登录时提示账号已禁用；无法获取token,未执行,P1,严重,业务规则校验
TC-SYS-005,统计与系统管理模块,用户列表页,验证删除用户,删除用户,已登录admin；存在用户testuser,1.在用户列表对testuser点击删除；2.确认删除,DELETE /api/user返回code=200；列表移除该用户；sys_user记录删除(或逻辑删除)；该账号无法登录,未执行,P1,严重,功能测试
TC-SYS-006,统计与系统管理模块,用户新增页,验证用户名重复新增,用户名已存在,已登录admin；存在用户student1,1.进入新增用户；2.用户名输入student1；3.填写其他项；4.点击保存,校验拦截提示用户名已存在；不重复入库；返回相应错误码,未执行,P1,一般,业务规则校验
